# trial, step, v_x_car, v_y_car, x_car, y_car, v_x_ped_0,v_y_ped_0,x_ped_0,y_ped_0,a_x_0,a_y_0,noise_v_x_0,noise_v_y_0,noise_x_0,noise_y_0,reward
0.000000000000000000e+00,0.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.388300000000000267e+01,0.000000000000000000e+00,-4.181112617260391434e-02,9.705762207539735398e-01,-5.020905563086301981e-01,-3.901471188962301273e+00,-4.181112617260391295e-01,-2.942377924602646022e-01,-3.829273108503074008e-01,-6.018983516695637359e-01,-5.559474904928918271e-01,-7.703640325568201774e-01,-1.508144327062775458e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.276600000000000534e+01,0.000000000000000000e+00,-3.530438457704607180e-02,9.853665757117310298e-01,-5.059463318461127068e-01,-3.803674049139015967e+00,6.506741595557843927e-02,1.479035495775753439e-01,-3.787354769390156584e-01,-3.391805112124612887e-02,-5.594573801725045703e-01,-1.505546303507156569e+00,-1.239011897534687545e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.164900000000000446e+01,0.000000000000000000e+00,-5.141655483266156790e-02,9.906338497575197799e-01,-5.102823788165981034e-01,-3.704874027865553643e+00,-1.611217025561549332e-01,5.267274045788743891e-02,-7.780385989399959401e-01,-5.482474221499920031e-01,-1.238569316046708835e+00,-8.273398842844809087e-01,-7.494183936987609540e-01
0.000000000000000000e+00,3.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-3.053200000000000358e+01,0.000000000000000000e+00,-7.053505938383046459e-02,9.758341434526303093e-01,-5.163799595274226606e-01,-3.606550628205046127e+00,-1.911850455116889114e-01,-1.479970630488949557e-01,-6.871522423574801808e-01,-8.022846120164428552e-01,-6.041551158100262331e-01,-9.200945401832120174e-01,-1.036106864344666256e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.941500000000000270e+01,0.000000000000000000e+00,-6.709499166811609683e-02,9.897534994112843210e-01,-5.232614620800200012e-01,-3.508271246061850590e+00,3.440067715714362206e-02,1.391935595865396724e-01,-4.659287730140495576e-01,-1.167342403779555893e+00,-1.284399197919724234e+00,-1.215209268251683516e+00,-9.676246769143158621e-01
0.000000000000000000e+00,5.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.829800000000000182e+01,0.000000000000000000e+00,-1.872172880103663284e-02,9.740677749041297684e-01,-5.275522981034775905e-01,-3.410080182346079791e+00,4.837326286707946399e-01,-1.568572450715453315e-01,-7.367512616127011027e-01,-1.034007598524424809e+00,-1.248512406165517064e+00,-7.825534348596170364e-01,-1.180656884986438504e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.718100000000000094e+01,0.000000000000000000e+00,2.459954874872577468e-04,1.001955172808481898e+00,-5.284760847691550856e-01,-3.311279034960449064e+00,1.896772428852389059e-01,2.788739790435215138e-01,-7.889113767893909390e-01,-6.151464438442968419e-01,-3.491050809673296729e-01,-4.121374252162343099e-01,-1.446163115220971962e+00
0.000000000000000000e+00,7.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.606400000000000006e+01,0.000000000000000000e+00,-1.453841539961146269e-02,1.048230099988941566e+00,-5.291907057647613488e-01,-3.208769771320577835e+00,-1.478441088709872009e-01,4.627492718045964626e-01,-5.403896124271365675e-01,-3.860642869127968169e-01,-3.253877300314657606e-01,-8.674590913421971194e-01,-1.779672384026689480e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.494699999999999918e+01,0.000000000000000000e+00,2.808544498690831309e-02,1.067335104012933300e+00,-5.285133542853964750e-01,-3.102991511120483992e+00,4.262386038651977405e-01,1.910500402399183950e-01,-8.404830971091579173e-01,-8.105584028453931555e-01,-1.141300459582696103e+00,-5.813470014206090219e-01,-1.241662892838822918e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.116999999999999993e+01,0.000000000000000000e+00,-2.382999999999999829e+01,0.000000000000000000e+00,4.145034620130325781e-02,1.070140202466774104e+00,-5.250365647259859214e-01,-2.996117745796498699e+00,1.336490121439494472e-01,2.805098453840862427e-02,-7.596748081604843827e-01,-1.071201245020904080e+00,-1.113055815306969620e+00,-8.406905870839055384e-01,-5.199929653585566580e-01
