step_count,reward 0,reward 1,reward 2,reward 3,reward 4,reward 5,reward 6,reward 7,reward 8,reward 9
400000,-112.820962532,-113.162897876,-113.37174024,-113.78020851,-113.966926856,-113.992205918,-114.10535962,-114.20451992,-114.232401404,-114.238281525
400000,-130.113612081,-130.131141478,-130.465972699,-130.660591816,-131.076477791,-132.039606522,-132.265377604,-132.381196814,-132.404491345,-132.826252275
400000,-137.906632852,-138.3152566,-138.679271609,-139.451397201,-139.512764786,-139.544525958,-139.56811325,-139.591584099,-139.595756969,-139.625878761
400000,-121.192804331,-122.055634375,-122.131005944,-122.178260979,-122.185385003,-122.191110027,-122.28769885,-122.406780299,-122.614881548,-122.848510508
400000,-130.632022069,-130.698194436,-131.254737008,-131.850814561,-131.921473658,-132.050672664,-132.153323444,-132.204844537,-132.414674582,-132.504577877
400000,-131.93079712,-131.972317357,-132.599692511,-132.928410364,-133.068933644,-133.149915543,-133.213234125,-133.250044996,-133.40101994,-133.593858679
400000,-123.387691739,-123.450283477,-124.303350121,-124.316385613,-124.465873046,-124.59927805,-124.842540492,-124.954735219,-125.06884929,-125.113172472
400000,-114.247238006,-114.423964242,-114.74838034,-114.779517329,-114.790632077,-114.871342635,-114.881383197,-114.922987796,-114.929599359,-114.938422952
400000,-134.929653005,-136.355681855,-136.552154681,-136.919846528,-137.080165775,-137.135712242,-137.637432213,-137.909250308,-137.964037103,-138.000545859
400000,-121.774720639,-122.28999932,-122.563378836,-122.77395218,-122.999833745,-124.363912936,-124.48299439,-124.527605585,-124.684829762,-124.825504353
