step_count,reward 0,reward 1,reward 2,reward 3,reward 4,reward 5,reward 6,reward 7,reward 8,reward 9
400000,-135.6928467,-135.927439661,-135.932500353,-136.001681842,-136.309273416,-136.353253032,-136.489219981,-136.604717216,-136.646901839,-136.857317888
400000,-136.992772905,-137.268073533,-137.788203913,-138.013181818,-138.479148688,-138.94676698,-139.052838382,-139.264920952,-139.41271045,-139.422914077
400000,-134.48502646,-135.003314825,-135.015576436,-135.230335146,-135.629982294,-135.856666023,-135.929036181,-135.939367694,-135.972680222,-136.13862091
400000,-136.209695041,-137.178747265,-138.131225371,-138.224431817,-138.382753386,-138.521066298,-138.599706042,-138.621111166,-138.787546504,-138.863239533
400000,-135.41682492,-136.087229196,-136.139768048,-136.196956848,-136.298147017,-136.303148308,-136.342110797,-136.346464312,-136.37362709,-136.616343816
400000,-131.577724823,-133.866235323,-133.890290313,-133.915060319,-134.176245936,-134.200737461,-134.253574486,-134.639047796,-134.742139707,-134.765614572
400000,-132.673609641,-133.066789445,-133.375316652,-133.593306524,-133.660155371,-133.804978383,-133.833984422,-133.939974144,-134.262948413,-134.551621254
400000,-119.258092287,-120.017461311,-120.428235669,-120.538529685,-120.719459117,-121.67822308,-121.701216434,-121.891092408,-121.92212252,-121.932873219
400000,-136.325911742,-137.500612839,-137.731546425,-138.363104817,-138.506795446,-138.59889213,-138.708909356,-138.953259146,-139.132405572,-139.190353061
400000,-140.941719243,-141.180795607,-141.221204841,-141.423718926,-141.681538416,-141.749345775,-141.806064711,-141.903571621,-142.003822374,-142.044147741
