step_count,reward 0,reward 1,reward 2,reward 3,reward 4,reward 5,reward 6,reward 7,reward 8,reward 9
20000,-151.897382341,-151.946393861,-152.872172878,-153.643877071,-153.750457809,-154.184767434,-154.806501624,-154.876982175,-155.001402304,-155.509536991
20000,-43239.0561617,-44981.7496462,-45210.1310381,-45394.6873441,-45424.1184134,-45503.6739878,-45511.323128,-45620.2713837,-45687.0575866,-45746.2497618
20000,-14562.7755838,-14602.0713423,-14850.9793851,-14879.8321708,-15118.2625566,-15333.8165212,-15753.1618263,-15834.0375434,-16093.0602704,-16156.6356859
20000,-142.11665676,-143.935701356,-144.551954572,-145.828162905,-146.121319346,-147.134404008,-147.661023286,-148.867670706,-149.010625725,-149.31669503
20000,-151.776087121,-153.099255174,-154.491079616,-156.545444367,-156.5619424,-156.730300011,-157.251799004,-157.252816005,-157.750782796,-157.885652756
20000,-146.529556198,-146.565095185,-146.604896278,-146.651576566,-146.724857069,-147.551500237,-147.653068114,-149.540923769,-150.061343573,-150.115306727
20000,-31463.4200787,-32010.8070804,-32650.3647785,-33264.192237,-33402.7163956,-33571.9566036,-33737.0528912,-33913.7289599,-33942.1086993,-34987.8508263
20000,-153.976924777,-158.101350028,-158.655132551,-159.950246201,-159.957144714,-161.340949352,-13034.8667903,-13244.734495,-13639.9190925,-13843.8365907
20000,-12975.8822897,-13515.6794906,-13808.8930279,-13996.2196069,-14453.0816069,-14478.7035394,-14771.5353594,-14830.0809485,-15144.8439535,-15230.5105899
20000,-35413.4529242,-35528.451229,-35539.0164338,-35752.9490927,-36156.8349522,-36499.0083653,-36597.5135633,-36638.0747034,-36803.0889257,-36983.2195329
